Center [%],Chord [m],Twist [rad],Airfoil [-]
0.0055555556,5.3832239667,-0.2530858922,DTU10_AF_000
0.0166666667,5.3844291647,-0.2530903934,DTU10_AF_001
0.0277777778,5.3813607124,-0.2530772525,DTU10_AF_002
0.0388888889,5.3772786059,-0.2530601798,DTU10_AF_003
0.0500000000,5.3754428414,-0.2530528853,DTU10_AF_004
0.0611111111,5.3791134151,-0.2530690791,DTU10_AF_005
0.0722222222,5.3913924955,-0.2530798409,DTU10_AF_006
0.0833333333,5.4145124501,-0.2528213099,DTU10_AF_007
0.0944444444,5.4504076238,-0.2519491275,DTU10_AF_008
0.1055555556,5.5002171452,-0.2501378157,DTU10_AF_009
0.1166666667,5.5614084247,-0.2471494331,DTU10_AF_010
0.1277777778,5.6303895162,-0.2427712946,DTU10_AF_011
0.1388888889,5.7037540468,-0.2368343373,DTU10_AF_012
0.1500000000,5.7790133449,-0.2293850932,DTU10_AF_013
0.1611111111,5.8539617589,-0.2205365838,DTU10_AF_014
0.1722222222,5.9263642760,-0.2104491072,DTU10_AF_015
0.1833333333,5.9937923470,-0.1995936146,DTU10_AF_016
0.1944444444,6.0537392721,-0.1885664996,DTU10_AF_017
0.2055555556,6.1038556568,-0.1779452061,DTU10_AF_018
0.2166666667,6.1435045148,-0.1680973794,DTU10_AF_019
0.2277777778,6.1730997250,-0.1592619158,DTU10_AF_020
0.2388888889,6.1930741481,-0.1516654180,DTU10_AF_021
0.2500000000,6.2039518942,-0.1452799247,DTU10_AF_022
0.2611111111,6.2063513635,-0.1398144298,DTU10_AF_023
0.2722222222,6.2008948528,-0.1349665276,DTU10_AF_024
0.2833333333,6.1881536459,-0.1305160463,DTU10_AF_025
0.2944444444,6.1686016848,-0.1263997307,DTU10_AF_026
0.3055555556,6.1427019658,-0.1225719703,DTU10_AF_027
0.3166666667,6.1109069330,-0.1189816802,DTU10_AF_028
0.3277777778,6.0736275952,-0.1155562780,DTU10_AF_029
0.3388888889,6.0312647918,-0.1122179054,DTU10_AF_030
0.3500000000,5.9842200054,-0.1088975268,DTU10_AF_031
0.3611111111,5.9329002986,-0.1056026968,DTU10_AF_032
0.3722222222,5.8777156016,-0.1023803217,DTU10_AF_033
0.3833333333,5.8190753283,-0.0992753810,DTU10_AF_034
0.3944444444,5.7573767417,-0.0962822015,DTU10_AF_035
0.4055555556,5.6930050972,-0.0933450536,DTU10_AF_036
0.4166666667,5.6263441494,-0.0904062479,DTU10_AF_037
0.4277777778,5.5576882848,-0.0874234295,DTU10_AF_038
0.4388888889,5.4871726553,-0.0843815675,DTU10_AF_039
0.4500000000,5.4149159729,-0.0812684555,DTU10_AF_040
0.4611111111,5.3410401735,-0.0780769890,DTU10_AF_041
0.4722222222,5.2656768979,-0.0748154212,DTU10_AF_042
0.4833333333,5.1889596057,-0.0714948839,DTU10_AF_043
0.4944444444,5.1110216090,-0.0681257438,DTU10_AF_044
0.5055555556,5.0319955542,-0.0647149117,DTU10_AF_045
0.5166666667,4.9520138996,-0.0612683231,DTU10_AF_046
0.5277777778,4.8712084482,-0.0577921650,DTU10_AF_047
0.5388888889,4.7897073012,-0.0542940436,DTU10_AF_048
0.5500000000,4.7076372613,-0.0507820630,DTU10_AF_049
0.5611111111,4.6251270471,-0.0472640729,DTU10_AF_050
0.5722222222,4.5423162110,-0.0437464820,DTU10_AF_051
0.5833333333,4.4593481083,-0.0402351933,DTU10_AF_052
0.5944444444,4.3763589926,-0.0367363123,DTU10_AF_053
0.6055555556,4.2934539219,-0.0332568348,DTU10_AF_054
0.6166666667,4.2107293708,-0.0298040008,DTU10_AF_055
0.6277777778,4.1282692561,-0.0263849168,DTU10_AF_056
0.6388888889,4.0461247255,-0.0230063409,DTU10_AF_057
0.6500000000,3.9643416216,-0.0196749412,DTU10_AF_058
0.6611111111,3.8829648762,-0.0163962257,DTU10_AF_059
0.6722222222,3.8020382992,-0.0131742730,DTU10_AF_060
0.6833333333,3.7216060072,-0.0100128375,DTU10_AF_061
0.6944444444,3.6417148714,-0.0069139371,DTU10_AF_062
0.7055555556,3.5624129776,-0.0038788211,DTU10_AF_063
0.7166666667,3.4837473177,-0.0009091754,DTU10_AF_064
0.7277777778,3.4057629935,00.0019925579,DTU10_AF_065
0.7388888889,3.3285055083,00.0048244699,DTU10_AF_066
0.7500000000,3.2520235372,00.0075879300,DTU10_AF_067
0.7611111111,3.1763663677,00.0102853969,DTU10_AF_068
0.7722222222,3.1015771399,00.0129191890,DTU10_AF_069
0.7833333333,3.0276943484,00.0154916530,DTU10_AF_070
0.7944444444,2.9547507830,00.0180086806,DTU10_AF_071
0.8055555556,2.8827718386,00.0204800533,DTU10_AF_072
0.8166666667,2.8117399767,00.0229156890,DTU10_AF_073
0.8277777778,2.7415896114,00.0253253204,DTU10_AF_074
0.8388888889,2.6723500417,00.0277161106,DTU10_AF_075
0.8500000000,2.6041419191,00.0300926584,DTU10_AF_076
0.8611111111,2.5370057477,00.0324597385,DTU10_AF_077
0.8722222222,2.4708051978,00.0348232234,DTU10_AF_078
0.8833333333,2.4048673222,00.0371926382,DTU10_AF_079
0.8944444444,2.3378824168,00.0395702311,DTU10_AF_080
0.9055555556,2.2678391109,00.0419487037,DTU10_AF_081
0.9166666667,2.1924558195,00.0443266576,DTU10_AF_082
0.9277777778,2.1091186551,00.0466848105,DTU10_AF_083
0.9388888889,2.0160898442,00.0489910226,DTU10_AF_084
0.9500000000,1.9123453005,00.0512247371,DTU10_AF_085
0.9611111111,1.7909638697,00.0533569555,DTU10_AF_086
0.9722222222,1.6374274226,00.0553373764,DTU10_AF_087
0.9833333333,1.4266648494,00.0571988575,DTU10_AF_088
0.9944444444,1.0431701341,00.0590354118,DTU10_AF_089
